code,eng,thai 
D440,Thyroid gland neoplasm of uncertain,ต่อมธัยรอยด์
D441,Adrenal gland neoplasm of uncertain,ต่อมหมวกไต
D442,Parathyroid gland neoplasm of uncertain,ต่อมพาราธัยรอยด์
D443,Pituitary  gland neoplasm of uncertain,ต่อมใต้สมอง
D444,Craniopharyngeal duct neoplasm of uncertain,ท่อครานีโอฟาริงซ์เจียล
D445,Pineal  gland neoplasm of uncertain,ต่อมพีเนียล
D446,Carotid body neoplasm of uncertain,คาโรติด บอดี้
D447,Aortic body and other paraganglia neoplasm of uncertain,เอออติก บอดี้ และพาราแกงเกลี่ยอื่น
D448,Pluriglandular involvement neoplasm of uncertain,พลูริแกลนดูลาร์ อินโวลฟเมนท์
D449,Endocrine gland neoplasm of uncertain unspecified,ต่อมไร้ท่อ ที่มิได้ระบุรายละเอียด
D45,Polycythaemia vera,โพลีไซทีเมีย วีร่า
D46,Myelodysplastic syndromes,กลุ่มอาการมัยเอโลดิสพลาสติก
D460,Refractory anaemia without sideroblasts so stated,โรคโลหิตจางชนิดดื้อ ที่ไม่มีเม็ดเลือดแดงซิเดอโรบลาส
D461,Refractory anaemia with sideroblasts,โรคโลหิตจางชนิดดื้อ ที่มีเม็ดเลือดแดงซิเดอโรบลาส
D462,Refractory anaemia with excess of blasts,โรคโลหิตจางชนิดดื้อ ที่มีเม็ดเลือดแดงบลาสเซลล์มากเกินไป
D463,Refractory anaemia with excess of blasts with transformation,โรคโลหิตจางชนิดดื้อ ที่มีเม็ดเลือดแดงบลาสเซลล์มากเกินไป และมีการเปลี่ยนรูปร่าง
D464,Refractory anaemia unspecified,โรคโลหิตจางชนิดดื้อ ที่มิได้ระบุรายละเอียด
D467,Other myelodysplastic syndromes,กลุ่มอาการมัยเอโลดิสพลาสติก อื่นๆ
D469,Myelodysplastic syndrome unspecified,กลุ่มอาการมัยเอโลดิสพลาสติก ที่มิได้ระบุรายละเอียด
D47,Other neoplasms of uncertain or unknow behaviour of lymphoid haematopoietic and related tissue,เนื้องอกอื่นเนื้อเยื่อ น้ำเหลือง เนื้อเยื่อสร้างเลือดและเนื้อเยื่อที่เกี่ยวข้องที่ไม่ทราบลักษณะพฤติกรรม หรือลักษณะพฤติกรรมไม่แน่นอน
D470,Histiocytic and mast cell tumours of uncertain and unknow behaviour,เนื้องอกของฮิสติโอไซติกและมาสเซลล์ ที่ไม่ทราบลักษณะพฤติกรรม หรือลักษณะพฤติกรรมไม่แน่นอน
D471,Chronic myeloproliferative disease,โรคไมเอลโลโพรริเฟอร์เรทีฟ เรื้อรัง
D472,Monoclonal gammopathy,โมโนโคลนอล แกมโมปาธี
D473,Essential (haemorrhagic) thrombocythaemia,เอสเซนเชี่ยล (ฮีโมแรจิค) ทรอมโบไซธีเมีย
D477,Other specified neoplasms of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue,เนื้องอกอื่นที่บอกชื่อเฉพาะของเนื้อเยื่อน้ำเหลือง เนื้อเยื่อสร้างเลือดและเนื้อเยื่อที่เกี่ยวข้องที่ไม่ทราบลักษณะพฤติกรรม หรือลักษณะพฤติกรรมไม่แน่นอน
D479,Neoplasm of uncertain or unknow behaviour of lymphoid haematopoietic and realted tissue unspecified,เนื้องอกที่มิได้ระบุรายละเอียดของเนื้อเยื่อน้ำเหลือง เนื้อเยื่อสร้างเลือดและเนื้อเยื่อที่เกี่ยวข้อง
D48,Neoplasm of uncertain or unknow behaviour of other ans unspecified sites,เนื้องอกที่ตำแหน่งอื่น หรือไม่ระบุตำแหน่งแน่นอน และไม่ทราบลักษณะหรือลักษณะพฤติกรรมไม่แน่นอน
D480,Bone and articular cartilage neoplasm of uncertain,กระดูกและกระดูกอ่อนข้อต่อ
D481,Connective and other soft tissue neoplasm of uncertain,เนื้อเยื่อเกี่ยวพันและเนื้อเยื่ออ่อนอื่น
D482,Peripheral nerves and autonomic nervous system neoplasm of uncertain,เส้นประสาทส่วนปลาย และระบบประสาทอัตโนมัติ
D483,Retroperitoneum neoplasm of uncertain,เยื้อบุหลังช่องท้อง
D484,Peritoneum neoplasm of uncertain,เยื่อบุช่องท้อง
D485,Skin neoplasm of uncertain,ผิวหนัง
D486,Breast neoplasm of uncertain,เต้านม
D487,Other specified sites neoplasm of uncertain,ตำแหน่งที่ระบุรายละเอียดอื่น
D489,Neoplasm of uncertain or unknown behaviour unspecified,เนื้องอกที่ไม่ทราบลักษณะพฤติกรรมหรือลักษณะพฤติกรรมไม่แน่นอน ที่มิได้ระบุรายละเอียด
D50,Iron deficiency anaemia,โลหิตจางจากการขาดธาตุเหล็ก
D500,Iron deficiency anaemia secondary to blood loss (chronic),โลหิตจางจากการขาดธาตุเหล็กที่เป็นผลจากการเสียเลือด (แบบเรื้อรัง)
D501,Sideropenic dysphagia,สิเดอโรเปนิค ดิสฟาเจีย
D508,Other iron deficiency anaemias,โลหิตจางจากการขาดธาตุเหล็กอื่นๆ
D509,Iron deficiency anaemia unspecified,โลหิตจางจากการขาดธาตุเหล็กที่มิได้ระบุรายละเอียด
D51,Vitamin B12 deficiency anaemia,โลหิตจางจากการขาดวิตามินบี 12
D510,Vitamin B12 deficiency anaemia  due to intrinsic factor deficiency,โลหิตจางจาการขาดวิตามินบี 12 ที่เป็นผลจากการขาดอินทรินซิก แฟคเตอร์
D511,Vitamin B12 deficiency anaemia due to selective vitamin B12 malabsorption with proteinuria,โลหิตจางจากการขาดวิตามินบี 12 ที่เป็นผลจากความผิดปกติของการดูดซึมเฉพาะวิตามินบี 12 และการมีโปรตีนในปัสสาวะ
D512,Transcobalamin II deficiency,ภาวะขาดสาร ทรานสโคบาลามีน 2
D513,Other dietary vitamin B12 deficiency anaemia,โลหิตจางจากการขาดวิตามินบี 12 ในอาหารอื่น
D518,Other vitamin B12 deficiency anaemia,โลหิตจางจากการขาดวิตามันบี 12 อื่นๆ
D519,Vitamin B12 deficiency anaemia unspecified,โลหิตจางจากการขาดวิตามินบี 12 ที่มิได้ระบุรายละเอียด
D52,Folate deficiency anaemia,โลหิตจางจากการขาดโฟเลต
D520,Dieary folate deficiency anaemia,โลหิตจางจากการขาดโฟเลต ในอาหาร
D521,Drug-induced folate deficiency anaemia,โลหิตจางจากการขาดโฟเลตซึ่งเป็นผลจากยา
D528,Other folate deficiency anaemia,โลหิตจางจากการขาดโฟเลตอื่นๆ
D529,Folate deficiency anaemia  unspecified,โลหิตจางจากการขาดโฟเลต ที่มิได้ระบุรายละเอียด
D53,Other nutritional anaemias,โลหิตจางจากการขาดสารอาหารอื่นๆ
D530,Protein deficiency anaemia,โลหิตจางจากการขาดโปรตีน
D531,Other megaloblastic anaemias not elsewhere classified,โลหิตจางแบบเมกะโลบาสติกอื่นๆ ที่มิได้มีรหัสระบุไว้ที่อื่น
D532,Scorbutic anaemaia,โลหิตจาง สโคบิวติค
D538,Other specified nutritional anaemias,โลหิตจางจากการขาดสารอาหารที่ระบุรายละเอียดอื่น
D539,Nutritional anaemia unspecified,โลหิตจางจากการขาดสารอาหาร ที่มิได้ระบุรายละเอียด
D55,Anaemia due to enzyme disorders,โลหิตจางเนื่องจากความผิดปกติของเอ็นไซม์
D550,Anaemia due to glucoses-6-phosphate dehydrogenase [G6PD] deficiency,โลหิตจางเนื่องจากการขาดเอ็นไซม์ G6PD
D551,Anaemia due to other disorders of glutathione metabolism,โลหิตจางเนื่องจากความผิดปกติอื่นๆของเมตะบอลิซึมของกรูตาไทออน
D552,Anaemia due to disorders of glycolytic enzymes,โลหิตจางเนื่องจากความผิดปกติของเอ็นไซม์ย่อยไกลโคเจน
D553,Anaemia due to disorders of nucleotide metabolism,โลหิตจางเนื่องจากความผิดปกติของเมตะบอลิซึมของนิวคลิโอไทด์
D558,Other anaemias due to enzyme disorders,โลหิตจางอื่นๆเนื่องจากความผิดปกติของเอ็นไซม์
D559,Anaemia due to  enzyme disorder unspecified,โลหิตจางเนื่องจากความผิดปกติของเอ็นไซม์ที่มิได้ระบุรายละเอียด
D56,Thalassaemia,ทาลัสซีเมีย
D560,Alpha thalassaemia,ทาลัสซีเมียแบบแอลฟา
D561,Beta thalassaemia,ทาลัสซีเมียแบบเบต้า
D562,Delta-beta thalassaemia,ทาลัสซีเมียแบบเดลต้า-เบต้า
D563,Thalassaemia trait,ทาลัสซีเมียแบบซ่อน
D564,Hereditary persistence of fetal haemoglobin [HPFH],ภาวะที่มีฮีโมโกลบินของทารกยังคงอยู่แบบกรรมพันธุ์(HPFH)
D568,Other thalassaemias,ทาลัสซีเมียแบบอื่นๆ
D569,Thalassaemias unspecified,ทาลัสซีเมียที่มิได้ระบุรายละเอียด
D57,Sickle-cell disorders,ความผิดปกติที่เม็ดเลือดแดงเป็นรูปเคียว
D570,Sickle-cell anaemia with crisis,เม็ดเลือดแดงเป็นรูปเคียวร่วมกับภาวะวิกฤต
D571,Sickle-cell anaemia  without crisis,เม็ดเลือดแดงเป็นรูปเคียวโดยไม่อยู่ในภาวะวิกฤต
D572,Double heterozygous sickling disorders,ความผิดปกติที่เม็ดเลือดแดงเป็นรูปเคียวแบบดับเบิ้ลเฮเทอโรไซกัส
D573,Sickle-cell trait,เม็ดเลือดแดงเป็นรูปเคียวแบบซ่อน
D578,Other sickle-cell disorders,ความผิดปกติที่เม็ดเลือดแดงเป็นรูปเคียวแบบอื่นๆ
D58,Other hereditary haemolytic anaemias,โลหิตจางจากเม็ดเลือดแดงแตกอื่นๆ ที่เป็นกรรมพันธุ์
D580,Hereditary spherocytosis,โรคถ่ายทอดทางกรรมพันธุ์ สเฟียโรไซโตสิส
D581,Hereditary elliptocytosis,โรคถ่ายทอดทางกรรมพันธุ์ อีลิปโตไซโตสิส
D582,Other haemoglobinopathies,ภาวะที่มีพยาธิสภาพในฮีโมโกลบินอื่นๆ
D588,Other specified hereditary haemolytic anaemias,โลหิตจางสาเหตุจากเม็ดเลือดแดงแตกที่เป็นกรรมพันธุ์ที่ระบุรายละเอียดอื่น
D589,Hereditary haemolytic anaemia unspecified,โลหิตจางสาเหตุจากเม็ดเลือดแดงแตกเป็นกรรมพันธุ์ที่มิได้ระบุรายละเอียด
D59,Acquired haemolytic anaemia,โลหิตจางจากเม็ดเลือดแดงแตกที่ไม่ได้เป็นกรรมพันธุ์
D590,Drug-induced autoimmune haemolytic anaemia,โลหิตจางจากยาชักนำให้ร่างกายมีการทำลายเม็ดเลือดแดงตัวเอง
D591,Other  autoimmune haemolytic anaemias,โลหิตจางจากร่างกายทำลายเม็ดเลือดแดงตัวเองอื่นๆ
D592,Drug-induced nonautoimmune haemolytic anaemia,โลหิตจางจากยาชักนำให้เม็ดเลือดแดงแตกโดยไม่ใช่ทำลายตัวเอง
D593,Haemolytic-uraemic syndrome,กลุ่มอาการฮีโมไลติค-ยูเรเมีย
D594,Other nonautoimmune haemolytic anaemia,โรคโลหิตจางจากเม็ดเลือดแดงแตกโดยไม่ใช่ทำลายตัวเองอื่นๆ
D595,Paraxysmal nocturnal haemoglobinuria [Marchiafava-Micheli],ภาวะที่ปัสสาวะมีฮีโมโกลบินเป็นบางขณะในเวลากลางคืน (มาเชียฟาวา-มิเชลี)
D596,Haemoglobinuria due to haemolysis from other external causes,ปัสสาวะมีฮีโมโกลบินเนื่องจากการทำลายเม็ดเลือดแดงแตกจากสาเหตุภายนอกอื่นๆ
D598,Other acquired haemolytic anaemias,โลหิตจางจากเม็ดเลือดแดงแตกที่ไม่ได้เป็นกรรมพันธุ์ ชนิดอื่น
D599,Acquired haemolytic anaemia unspecified,โลหิตจางจากเม็ดเลือดแดงแตกที่มิได้ระบุรายละเอียด
D60,Acquired  pure red cell aplasia [erythroblastopenia],ไขกระดูกหยุดสร้างเม็ดเลือดแดงอย่างเดียวที่เกิดภายหลัง (เอริทโทรบลาสโตเพเนีย)
D600,Chronic acquired  pure red cell aplasia,ไขกระดูกหยุดสร้างเม็ดเลือดแดงที่เกิดภายหลังแบบเรื้อรัง
D601,Transient acquired  pure red cell aplasia,ไขกระดูกหยุดสร้างเม็ดเลือดแดงที่เกิดขึ้นภายหลังแบบชั่วขณะ
D608,Other acquired  pure red cell aplasia,ไขกระดูกหยุดสร้างเม็ดเลือดแดงที่เกิดภายหลังอื่นๆ
D609,Acquired  pure red cell aplasia unspecified,ไขกระดูกหยุดสร้างเม็ดเลือดแดงที่เกิดภายหลังแบบที่มิได้ระบุรายละเอียด
D61,Other aplastic anaemias,โลหิตจางจากไขกระดูกฝ่ออื่นๆ
D610,Constitutional aplastic anaemia,โลหิตจางจากไขกระดูกฝ่อเอง
D611,Drug-induced aplastic anaemia,โลหิตจางจากไขกระดูกฝ่อจึงเป็นผลจากยา
D612,Aplastic anaemia due to other external agents,โลหิตจางจากไขกระดูกฝ่อเนื่องจากสารภายนอก
D613,Idiopathic aplastic anaemia,โลหิตจางจากไขกระดูกฝ่อแบบไม่ทราบสาเหตุ
D618,Other specified aplastic anaemias,โลหิตจางจากไขกระดูกฝ่อที่ระบุรายละเอียดอื่น
D619,Aplastic anaemia unspecified,โลหิตจางจากไขกระดูกฝ่อที่มิได้ระบุรายละเอียด
D62,Acute posthaemorrhagic anaemia,โลหิตจางหลังเสียเลือดแบบเฉียบพลัน
D64,Other anaemias,โลหิตจางอื่นๆ
D640,Hereditary sideroblastic anaemia,โลหิตจางสิเดอโรบลาสที่เป็นพันธุกรรม
D641,Secondary sideroblastic anaemia due to disease,โลหิตจางสิเดอโรบลาสทุติยภูมิเนื่องจากโรคอื่น
D642,Secondary sideroblastic anaemia due to drugs and toxins,โลหิตจางสิเดอโรบลาสทุติยภูมิเนื่องจากยาและสารพิษ
D643,Other sideroblastic anaemia,โลหิตจางสิเดอโนบลาสอื่นๆ
D644,Congenital dyserythropoietic anaemia,โลหิตจางจากการสร้างเม็ดเลือดแดงผิดปกติแต่กำเนิด
D648,Other specified anaemias,โลหิตจางที่ระบุรายละเอียดอื่น
D649,Anaemia unspecified,โลหิตจางที่มิได้ระบุรายละเอียด
D65,Disseminated intravascular coagulation [defibrination syndrome],ภาวะเลือดแข็งตัวในหลอดเลือดทั่วไป (กลุ่มอาการที่เกิดภายหลังที่มีไฟบรินต่ำ)
D66,Hereditary factor VIII deficiency,แฟคเตอร์ 8 มีน้อยที่เป็นกรรมพันธุ์
D67,Hereditary factor IX deficiency,แฟคเตอร์ 9 มีน้อยที่เป็นกรรมพันธุ์
D68,Other coagulation defects,ภาวะการแข็งตัวของเลือดผิดปกติอื่นๆ
D680,Von Willebrand's disease,โรคฟอน วิลลิแบรนด์
D681,Hereditary factor XI deficiency,แฟคเตอร์ 11 มีน้อยที่เป็นกรรมพันธุ์
D682,Hereditary deficiency of other clotting factors,แฟคเตอร์ที่เกี่ยวข้องกับการแข็งตัวของเลือดอย่างอื่นมีน้อยที่เป็นกรรมพันธุ์
D683,Haemorrhagic disorder due to circulating anticoagulants,เลือดออกผิดปกติเนื่องจากสารต่อต้านการแข็งตัวในกระแสเลือด
D684,Acqired coagulation factory deficiency,แฟคเตอร์ที่ทำให้เลือดแข็งตัวมีน้อยที่เกิดภายหลัง
D688,Other specified coagulation defects,การแข็งตัวของเลือดบกพร่องที่ระบุรายละเอียดอื่น
D689,Coagulation defect unspecified,การแข็งตัวของเลือกบกพร่อง ที่มิได้ระบุรายละเอียด
D69,Purpura and other haemorrhagic conditions,ผื่นจ้ำเลือดและเลือดออกอื่นๆ
D690,Allergic purpura,ผื่นจ้ำเลือดจากการแพ้
D691,Qualitative platelet defects,คุณภาพของเกร็ดเลือดผิดปกติ
D692,Other nonthrombocytopenic purpura,ผื่นจ้ำเลือดที่เกร็ดเลือดไม่ต่ำอื่นๆ
D693,Idiopathic thrombocytopenic purpura,ผื่นจ้ำเลือดที่เกร็ดเลือดต่ำแบบไม่ทราบสาเหตุ
D694,Other primary thrombocytopenic,ภาวะเกล็ดเลือดต่ำปฐมภูมิอื่นๆ
D695,Secondary thrombocytopenia,ภาวะเกล็ดเลือดต่ำทุติยภูมิ
D696,Thrombocytopenia unspecified,ภาวะเกล็ดเลือดต่ำที่มิได้ระบุรายละเอียดอื่น
D698,Other specified haemorrhagic conditions,ภาวะที่มีเลือดออกที่ระบุรายละเอียดอื่น
D699,Haemorrhagic condition unspecified,ภาวะที่มีเลือดออกที่มิได้ระบุรายละเอียด
D70,Agranulocytosis,อแกรนูโลไซโตสิส
D71,Functional disorders of polymorphonuclear neutrophils,ความผิดปกติทางหน้าที่ของเซลล์นิวโตรฟิลชนิดโพลิมอร์โฟนิวเคลีย
D72,Other disorders of white blood cells,เม็ดเลือดขาวผิดปกติอื่นๆ
D720,Genetic anomalies of leukocytes,รูปร่างเม็ดเลือดขาวผิดปกติที่เป็นพันธุกรรม
D721,Eosinophilia,เม็ดเลือดขาวอีโอศิโนฟิลมากผิดปกติ
D728,Other specified disorders of white blood cells,เม็ดเลือดขาวผิดปกติที่ระบุรายละเอียดอื่น
D729,Disorder of wihite blood cells unspeified,เม็ดเลือดขาวผิดปกติที่มิได้ระบุรายละเอียด
D73,Diseases of spleen,โรคของม้าม
D730,Hyposplenism,ม้ามทำงานน้อยกว่าปกติ
D731,Hypersplenism,ม้ามทำงานมากกว่าปกติ
D732,Chronic congestive splenomegaly,ม้ามโตจากเลือดคั่งแบบเรื้อรัง
D733,Abscess of spleen,ฝีที่ม้าม
D734,Cyst of spleen,ถุงน้ำที่ม้าม
D735,Infarction of spleen,ม้ามขาดเลือดไปเลี้ยง
D738,Other diseases of spleen,โรคอื่นๆของม้าม
D739,Diseases of spleen unspecified,โรคของม้ามที่มิได้ระบุรายละเอียด
D74,Methaemoglobinaemia,ภาวะมีเมทฮีโมโกลบินในเลือด
D740,Congenitla methaemoglobinaemia,ภาวะมีเมทฮีโมโกลบินในเลือดแต่กำเนิด
D748,Other methaemoglobinaemias,ภาวะมีเมทฮีโมโกลบินในเลือด อื่นๆ
D749,Methaemoglobinaemia unspecified,ภาวะมีเมทฮีโมโกลบินในเลือดที่มิได้ระบุรายละเอียด
D75,Other diseases of blood and blood-forming organs,โรคอื่นๆของเลือดและอวัยวะที่สร้างเลือด
D750,Familial erythrocytosis,ภาวะมีเม็ดเลือดแดงสูงแบบครอบครัว
D751,Secondary polycythaemia,โพลิไซธีเมียทุติยภูมิ
D752,Essential thrombocytosis,เกล็ดเลือดมากผิดปกติโดยไม่ทราบสาเหตุ
D758,Other specified diseases of blood and blood-forming organs,โรคของเลือดและอวัยวะที่สร้างเลือดที่ระบุรายละเอียดอื่น
D759,Disease of blood and blood-forming organs unspecified,โรคของเลือดและอวัยวะที่สร้างเลือดที่มิได้ระบุรายละเอียด
D76,Certain diseases involving lymphoreticular tissue and reticulohistiocytic system,โรคบางอย่างที่เกี่ยวกับเนื้อเยื่อลิมโฟเร็ตติคูล่าร์และระบบเร็ตติคูโลฮิสติโอไซต์
D760,Langerhans' cell histiocytosis not elsewhere classified,ลางเกอร์แฮนเซลล์ฮิสติโอไซโตสิส ที่มิได้มีรหัสระบุไว้ที่อื่น
D761,Haemophagocytic lymphohistiocytosis,ฮีโมฟาโกไซติก ลิมโฟฮิสติโอไซโตสิส
D762,Haemophagocytic syndrome infection-associated,กลุ่มอาการฮีโมฟาโกไซโตติก ซึ่งเกี่ยวกับการติดเชื้อ
D763,Other histiocytosis syndromes,กลุ่มอาการฮิสติโอไซโตสิสอื่นๆ
D80,Immunodeficiency with predominantly antibody defects,ภาวะภูมิคุ้มกันบกพร่องโดยมีความผิดปกติหลักอยู่ที่ภูมิคุ้มกัน
D800,Hereditary hypogammaglobulinaemia,ภาวะมีแกมม่าโกลบูลินในเลือดน้อยกว่าปกติที่ถ่ายทอดทางกรรมพันธุ์
D801,Nonfamilial hypogammaglobulinaemia,ภาวะมีแกมม่าโกลบูลินในเลือดน้อยกว่าปกติแบบไม่ถ่ายทอดในครอบครัว
D802,Selective deficiency of immunoglobulin A [IgA],ภาวะขาดเฉพาะ อิมมูโนโกลบูลิน เอ [IgA]
D803,Selective deficiency of immunoglobulin G [IgG] subclasses,ภาวะขาดเฉพาะ อิมมูโนโกลบูลิน จี [IgG] บางกลุ่มย่อย
D804,Selective deficiency of immunoglobulin M [IgM],ภาวะขาดเฉพาะ อิมมูโนโกลบูลิน เอ็ม [IgM]
D805,Immunodeficiency with increased immunoglobulin M [IgM],ภาวะภูมิคุ้มกันบกพร่อง ร่วมกับ อิมมูโนโกลบูลิน เอ็ม [IgM]เพิ่มขึ้น
D806,Antibody deficiency with near-normal immunoglobulins or with hyperimmoglobulinaemia,ภาวะขาดภูมิคุ้มกันร่วมกับ อิมมูโนโกลบูลินที่เกือบปกติหรือเพิ่มขึ้น
D807,Transient hypogammaglobulinaemia of infancy,ภาวะมีแกมม่าโกลบูลินในเลือดน้อยกว่าปกติในเด็กเป็นชั่วคราว
D808,Other immunodeficiencies with predominantly antibody defects,ภาวะภูมิคุ้มกันบกพร่องอื่นร่วมกับมีความบกพร่องในตัวภูมิต้านทานเป็นหลัก
D809,Immunodeficiency with predominantly antibody defects unspecified,ภาวะภูมิคุ้มกันบกพร่องร่วมกับมีความบกพร่องในตัวภูมิต้านทานเป็นหลัก ที่มิได้ระบุรายละเอียด
D81,Combined immunodeficiencies,ภาวะภูมิคุ้มกันบกพร่องหลายๆอย่างรวมกัน
D810,Sever combined immunodeficiency [SCID] with reticular dysgenesis,ภาวะภูมิคุ้มกันบกพร่องหลายๆอย่างรวมกันแบบรุนแรง [SCID] ร่วมกับเร็ตติคูร่าร์ ดิสเจเนสิส
D811,Sever combined immunodeficiency [SCID] with low T-and B-cell numbers,ภาวะภูมิคุ้มกันบกพร่องหลายๆอย่างรวมกัน แบบรุนแรง [SCID] ร่วมกับมีจำนวนทีและบีเซลล์ต่ำ
D812,Sever combined immunodeficiency [SCID] with low or normal B-cell numbers,ภาวะภูมิคุ้มกันบกพร่องหลายๆอย่างรวมกันแบบรุนแรง [SCID] ร่วมกับมีจำนวนบีเซลล์ปกติหรือต่ำ
D813,Adenosine deaminase [ADA] deficiency,ภาวะขาด อะดีโนซีน ดีแอมิเนส [ADA]
D814,Nezelof's syndrome,กลุ่มอาการเนซีโลฟ
D815,Purine nucleoside phosphorylase [PNP] deficiency,ภาวะขาดเพียวรีนนิวคลีโอไสด์ ฟอสโฟรีเลส [PNP]
D816,Major histocompatibility complex class I deficiency,ภาวะขาดเมเจอร์ ฮิสโตคอมแพทิบิลิตี่ คอมเพล็ก คลาส 1
D817,Major histocompatibility complex class II deficiency,ภาวะขาดเมเจอร์ ฮิสโตคอมแพทิบิลิตี่ คอมเพล็ก คลาส 2
D818,Other combined immunodeficiencies,ภาวะภูมิคุ้มกันบกพร่องหลายๆอย่างรวมกัน อื่นๆ
D819,Combined immunodeficiency unspecified,ภาวะภูมิคุ้มกันบกพร่องหลายๆอย่างรวมกัน ที่มิได้ระบุรายละเอียด
D82,Immunodeficiency associated with other major defects,ภาวะภูมิคุ้มกันบกพร่องซึ่งเกี่ยวกับข้อบกพร่องหลักอื่นๆ
D820,Wiskott-AIdrich syndrome,กลุ่มอาการ วิสคอตต์-อัลดริช
D821,Di George's syndrome,กลุ่มอาการ ได จอร์จ
D822,Immunodeficiency with short-limbed stature,ภาวะภูมิคุ้มกันบกพร่องร่วมกับความพิการแขนขาสั้น
D823,Immunodeficiency following hereditary defective response to Epstein-Barr virus,ภาวะภูมิคุ้มกันบกพร่องที่เป็นผลจากพันธุกรรมมีการตอบสนองผิดปกติต่อการติดเชื้อเอปสไตล์-บาร์ ไวรัส
D824,Hyperimmunoglobulin E [lgE] syndrome,กลุ่มอาการมีอิมมูโนโกลบูลิน อี (IgE) มากผิดปกติ
D828,Immunodeficiency associated with other specified major defects,ภาวะภูมิคุ้มกันบกพร่องร่วมกับข้อบกพร่องหลักเฉพาะอื่นๆ
D829,Immunodeficiency associated with major defect unspecified,ภาวะภูมิคุ้มกันบกพร่องร่วมกับข้อบกพร่องหลักที่มิได้ระบุรายละเอียด
D83,Common variable immunodeficiency,ภาวะภูมิคุ้มกันบกพร่องที่แปรปรวน
D830,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function,ภาวะภูมิคุ้มกันบกพร่องที่แปรปรวนร่วมกับความผิดปกติที่จำนวนและหน้าที่ของบี-เซลล์
D831,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders,ภาวะภูมิคุ้มกันบกพร่องที่แปรปรวนร่วมกับความผิดปกติของการปรับภูมิคุ้มกันของที-เซลล์
D832,Common variable immunodeficiency with autoantibodies to B- or T- cells,ภาวะภูมิคุ้มกันบกพร่องที่แปรปรวนร่วมกับการมีตัวต่อต้านตัวเองของบี-เซลล์ หรือ ที-เซลล์
D838,Other common variable immunodeficiencies,ภาวะภูมิคุ้มกันบกพร่องที่แปรปรวนอื่นๆ
D839,Common variable immuno deficiency unspecified,ภาวะภูมิคุ้มกันบกพร่องที่แปรปรวนที่มิได้ระบุรายละเอียด
D84,Other immunodeficiencies,ภาวะภูมิคุ้มกันบกพร่องอื่นๆ
D840,Lymphocyte function antigen-1 [LFA-1] defect,ภาวะบกพร่องของลิมโฟไซต์ ฟังชั่น แอนติเจน -1[LFA-1]
D841,Defects in the complement system,ภาวะบกพร่องในระบบคอมพลีเมนต์
D848,Other specified immunodeficiencies,ภาวะภูมิคุ้มกันบกพร่องที่ระบุรายละเอียดอื่น
D849,Immunodeficiency unspecified,ภาวะภูมิคุ้มกันบกพร่องที่มิได้ระบุรายละเอียด
D86,Sarcoidosis,ซาคอยโดสิส
D860,Sarcoidosis of lung,ซาคอยโดสิสของปอด
D861,Sarcoidosis of lymph nodes,ซาคอยโดสิสของต่อมน้ำเหลือง
D862,Sarcoidosis of lung with sarcoidosis of lymph nodes,ซาคอยโดสิสของปอดร่วมกับซาดอยโดสิสของต่อมน้ำเหลือง
D863,Sarcoidosis of skin,ซาคอยโดสิสของผิวหนัง
D868,Sarcoidosis of other and combined sites,ซาคอยโดสิสของส่วนอื่นๆและเป็นหลายที่
D869,Sarcoidosis unspecified,ซาคอยโดสิสที่มิได้ระบุรายละเอียด
D89,Other disorders involving the immune mechanism not elsewhere classified,ความผิดปกติอื่นๆ ที่เกี่ยวข้องกับกลไกของภูมิคุ้มกัน ที่มิได้มีรหัสระบุไว้ที่อื่น
D890,Polyclonal hypergammaglobulinaemia,ภาวะมีแกมมาโกลบูลินในเลือดสูงแบบโพลิโคลนอล
D891,Cryoglobulinaemia,ไครโอโกลบูลินีเมีย
D892,Hypergammaglobulinaemiam unspecified,ภาวะมีแกมมาโกลบูลินในเลือดที่มิได้ระบุรายละเอียด
D898,Other specified disorders involving the immune mechanism not elsewhere classified,ความผิดปกติที่เกี่ยวข้องกับกลไกของภูมิคุ้มกัน ที่มิได้มีรหัสระบุไว้ที่อื่น
D899,Disorder involving the immune mechanism unspecified,ความผิดปกติที่เกี่ยวข้องกับกลไกของอิมมูน ที่มิได้ระบุรายละเอียด
E00,Congenital iodine-deficiency syndrome,กลุ่มอาการซึ่งเกิดจากการขาดไอโอดีนแต่กำเนิด
E000,Congenital iodine-deficiency syndrome neurolgical type,กลุ่มอาการซึ่งเกิดจากการขาดไอโอดีนแต่กำเนิด แบบที่เกี่ยวข้องกับระบบประสาท
E001,Congenital iodine-deficiency syndrome myxoedematous type,กลุ่มอาการซึ่งเกิดจาการขาดไอโอดีนแต่กำเนิด แบบบวมทั้งตัว
E002,Congenital iodine-deficiency syndrome mixed type,กลุ่มอาการซึ่งเกิดจากการขาดไอโอดีนแต่กำเนิด ทั้งสองปนกัน
E009,Congenital iodine-deficiency syndrome unspecified,กลุ่มอาการซึ่งเกิดจากการขาดไอโอดีนแต่กำเนิด ที่มิได้ระบุรายละเอียด
